region,latitude,longitude,rainfall,sst,wind_speed,pressure,sst_above_threshold,sst_danger_zone,pressure_anomaly,low_pressure_flag,high_wind_flag,rainfall_intensity,heavy_rainfall_flag,risk_score,risk_level,cyclone_probability,distance_from_equator,bay_of_bengel_flag,arabian_sea_flag,sst_norm,wind_norm,pressure_norm,rainfall_norm
Andhra Pradesh,15.0,81.0,0.24055558,28.62800407409668,3.62007474899292,1013.3004760742188,1,1,0.3138850285456556,0,0,1,0,3,Moderate,0.3,15.0,1,0,0.6425372034270597,0.5557551664495397,0.7210943169010823,0.2789425883395036
Andhra Pradesh,15.0,81.5,0.24970834,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,1,0,3,Moderate,0.3,15.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.28986491690726574
Andhra Pradesh,15.0,82.0,0.27880558,28.62800407409668,3.869003772735596,1013.2960815429688,1,1,0.3094904972956556,0,0,1,0,3,Moderate,0.3,15.0,1,0,0.6425372034270597,0.5964175523001836,0.7199827083108181,0.3245877344721346
Andhra Pradesh,15.5,79.0,0.28058335,28.62800407409668,2.88906478881836,1012.5714111328124,1,1,-0.4151799128607081,0,0,1,0,3,Moderate,0.3,15.5,0,0,0.6425372034270597,0.4363451892023355,0.5366753639745895,0.32670921346403553
Andhra Pradesh,15.5,79.5,0.23887502,28.62800407409668,2.334824323654175,1012.8959350585938,1,1,-0.09065598707934441,0,0,1,0,3,Moderate,0.3,15.5,0,0,0.6425372034270597,0.3458103881184604,0.6187645705639869,0.2769371136523231
Andhra Pradesh,15.5,80.0,0.21895833,28.62800407409668,2.7943193912506104,1013.1246948242188,1,1,0.1381037785456556,0,0,1,0,3,Moderate,0.3,15.5,0,0,0.6425372034270597,0.42086859328134324,0.6766299732905158,0.2531697874947202
Andhra Pradesh,15.5,80.5,0.13387501,28.62800407409668,3.3864006996154785,1013.289794921875,1,1,0.3032038762019056,0,0,1,0,3,Moderate,0.3,15.5,1,0,0.6425372034270597,0.5175846702325534,0.7183924904664124,0.15163670057055262
Andhra Pradesh,15.5,81.0,0.21458334,28.62800407409668,3.5209200382232666,1013.3845825195312,1,1,0.3979914738581556,0,0,1,0,3,Moderate,0.3,15.5,1,0,0.6425372034270597,0.5395583122313974,0.7423692701980825,0.24794894938024178
Andhra Pradesh,15.5,81.5,0.28343752,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,1,0,3,Moderate,0.3,15.5,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.33011520056828053
Andhra Pradesh,15.5,82.0,0.20970835,28.62800407409668,3.658398151397705,1013.4636840820312,1,1,0.4770930363581556,0,0,1,0,3,Moderate,0.3,15.5,1,0,0.6425372034270597,0.5620152680329684,0.7623782248228373,0.24213144268886622
Andhra Pradesh,16.0,79.0,0.29516667,28.62800407409668,2.627337455749512,1012.76318359375,1,1,-0.2234074519230944,0,0,1,0,3,Moderate,0.3,16.0,0,0,0.6425372034270597,0.3935922082726918,0.5851847277330904,0.34411203104570665
Andhra Pradesh,16.0,79.5,0.27150002,28.62800407409668,2.1104037761688232,1012.9244384765624,1,1,-0.0621525691107081,0,0,1,0,3,Moderate,0.3,16.0,0,0,0.6425372034270597,0.3091514451094872,0.6259745873924771,0.31586973829486137
Andhra Pradesh,16.0,80.0,0.2578611,28.62800407409668,2.278303384780884,1012.98046875,1,1,-0.006122295673094413,0,0,1,0,3,Moderate,0.3,16.0,0,0,0.6425372034270597,0.33657773139345676,0.640147596918374,0.29959390832123356
Andhra Pradesh,16.0,80.5,0.24545835,28.62800407409668,2.686892509460449,1013.138916015625,1,1,0.1523249699519056,0,0,1,0,3,Moderate,0.3,16.0,1,0,0.6425372034270597,0.4033204855821841,0.6802272622006762,0.28479324593701155
Andhra Pradesh,16.0,81.0,0.23005557,28.62800407409668,3.3281288146972656,1013.3434448242188,1,1,0.3568537785456556,0,0,1,0,3,Moderate,0.3,16.0,1,0,0.6425372034270597,0.5080659976681278,0.7319633786725541,0.2664125362912922
Andhra Pradesh,16.0,81.5,0.17708333,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,1,0,3,Moderate,0.3,16.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.20319879417958492
Andhra Pradesh,16.0,82.0,0.17702778,28.573074340820312,3.4518096446990967,1013.4180297851562,1,1,0.4314387394831556,0,0,1,0,3,Moderate,0.3,16.0,1,0,0.6285266572059763,0.5282691766958216,0.7508298466906486,0.20313250430069163
Andhra Pradesh,16.5,79.0,0.31250003,28.62800407409668,2.326369524002075,1012.7845458984376,1,1,-0.20204514723548073,0,0,2,0,3,Moderate,0.3,16.5,0,0,0.6425372034270597,0.3444293023753252,0.5905883806024589,0.3647965735337982
Andhra Pradesh,16.5,79.5,0.294375,28.62800407409668,1.832272291183472,1012.7965698242188,1,1,-0.1900212214543444,0,0,1,0,3,Moderate,0.3,16.5,0,0,0.6425372034270597,0.26371885717880944,0.5936298652174584,0.34316730182116234
Andhra Pradesh,16.5,80.0,0.2760417,28.62800407409668,1.8011878728866575,1012.885986328125,1,1,-0.10060471754809441,0,0,1,0,3,Moderate,0.3,16.5,0,0,0.6425372034270597,0.2586412387005621,0.6162480122276945,0.3212894937795057
Andhra Pradesh,16.5,80.5,0.26006252,28.62800407409668,2.066239595413208,1012.99755859375,1,1,0.010967548076905587,0,0,1,0,3,Moderate,0.3,16.5,1,0,0.6425372034270597,0.3019372563754375,0.6444705192138457,0.30222094459833937
Andhra Pradesh,16.5,81.0,0.25820836,28.62800407409668,2.5695443153381348,1013.15380859375,1,1,0.1672175480769056,0,0,1,0,3,Moderate,0.3,16.5,1,0,0.6425372034270597,0.384151738296169,0.6839943802010159,0.30000830658126015
Andhra Pradesh,16.5,81.5,0.25343752,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,1,0,3,Moderate,0.3,16.5,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.29431508595445227
Andhra Pradesh,16.5,82.0,0.20862502,28.62800407409668,2.7641797065734863,1013.4744262695312,1,1,0.4878352238581556,0,0,1,0,3,Moderate,0.3,16.5,1,0,0.6425372034270597,0.4159452963940151,0.7650954902657053,0.24083866475004626
Andhra Pradesh,17.0,79.0,0.34897223,28.62800407409668,2.100421905517578,1012.955810546875,1,1,-0.030780498798094413,0,0,2,0,3,Moderate,0.3,17.0,0,0,0.6425372034270597,0.30752091336260773,0.6339102376063361,0.40832020487441373
Andhra Pradesh,17.0,79.5,0.32662502,28.62800407409668,1.5520284175872805,1012.9085693359376,1,1,-0.07802170973548073,0,0,2,0,3,Moderate,0.3,17.0,0,0,0.6425372034270597,0.21794121201266334,0.6219604452610252,0.3816524488977708
Andhra Pradesh,17.0,80.0,0.30972224,28.62800407409668,1.3776451349258425,1012.9307250976562,1,1,-0.05586594801684441,0,0,2,0,3,Moderate,0.3,17.0,0,0,0.6425372034270597,0.18945582200522393,0.6275648052369116,0.36148173352136
Andhra Pradesh,17.0,80.5,0.29179168,28.62800407409668,1.5362660884857178,1012.9757690429688,1,1,-0.010822002704344413,0,0,1,0,3,Moderate,0.3,17.0,1,0,0.6425372034270597,0.21536644632967444,0.6389587932871192,0.3400845300850225
Andhra Pradesh,17.0,81.0,0.26733336,28.62800407409668,1.86371910572052,1013.0667724609376,1,1,0.08018141526451927,0,0,1,0,3,Moderate,0.3,17.0,1,0,0.6425372034270597,0.26885567283515055,0.661978354510535,0.3108975081096329
Andhra Pradesh,17.0,81.5,0.23716669,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,1,0,3,Moderate,0.3,17.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.27489849999238175
Andhra Pradesh,17.0,82.0,0.22666669,28.62800407409668,2.255549430847168,1013.1389770507812,1,1,0.1523860051081556,0,0,1,0,3,Moderate,0.3,17.0,1,0,0.6425372034270597,0.3328608885738868,0.6802427012088743,0.26236845987754187
Andhra Pradesh,17.5,79.0,0.40808335,28.62800407409668,2.0142853260040283,1013.0138549804688,1,1,0.027263934795655587,0,0,2,0,3,Moderate,0.3,17.5,0,0,0.6425372034270597,0.2934505619854406,0.648592734402742,0.47885970057280564
Andhra Pradesh,17.5,79.5,0.37668753,28.62800407409668,1.3670181035995483,1013.0094604492188,1,1,0.022869403545655587,0,0,2,0,3,Moderate,0.3,17.5,0,0,0.6425372034270597,0.18771990370313255,0.6474811258124779,0.44139390209296825
Andhra Pradesh,17.5,80.0,0.36070836,28.62800407409668,1.052407145500183,1013.01953125,1,1,0.03294020432690559,0,0,2,0,3,Moderate,0.3,17.5,0,0,0.6425372034270597,0.1363284187780907,0.6500285621651665,0.42232536484517336
Andhra Pradesh,17.5,80.5,0.35037503,28.62800407409668,1.0760321617126465,1012.9639282226562,1,1,-0.022662823016844413,0,0,2,0,3,Moderate,0.3,17.5,1,0,0.6425372034270597,0.14018754902540145,0.6359636256966853,0.40999421823375637
Andhra Pradesh,17.5,81.0,0.312375,28.62800407409668,1.2103960514068604,1012.946044921875,1,1,-0.04054612379809441,0,0,2,0,3,Moderate,0.3,17.5,1,0,0.6425372034270597,0.16213579855048407,0.631439996294638,0.3646473705894593
Andhra Pradesh,17.5,81.5,0.268125,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,1,0,3,Moderate,0.3,17.5,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.3118422015340626
Andhra Pradesh,17.5,82.0,0.2631667,28.62800407409668,1.3536818027496338,1013.2860107421876,1,1,0.2994196965145193,0,0,1,0,3,Moderate,0.3,17.5,1,0,0.6425372034270597,0.18554142807652152,0.7174352719581581,0.3059252779244044
Andhra Pradesh,18.0,79.0,0.41286114,28.62800407409668,2.037416219711304,1012.9257202148438,1,1,-0.06087083082934441,0,0,2,0,3,Moderate,0.3,18.0,0,0,0.6425372034270597,0.2972289776593307,0.6262988065646663,0.4845612148928324
Andhra Pradesh,18.0,79.5,0.37762502,28.62800407409668,1.3973065614700315,1013.0099487304688,1,1,0.023357684795655587,0,0,2,0,3,Moderate,0.3,18.0,0,0,0.6425372034270597,0.19266750258988868,0.6476046378780627,0.4425126437412788
Andhra Pradesh,18.0,80.0,0.39297223,28.62800407409668,1.0014057159423828,1012.9771118164062,1,1,-0.009479229266844413,0,0,2,0,3,Moderate,0.3,18.0,0,0,0.6425372034270597,0.12799737012641765,0.6392984514674778,0.46082703964136185
Andhra Pradesh,18.0,80.5,0.3832917,28.62800407409668,0.8591976761817932,1012.9134521484376,1,1,-0.07313889723548073,0,0,2,0,3,Moderate,0.3,18.0,1,0,0.6425372034270597,0.1047677840505637,0.6231955659168743,0.4492749035239418
Andhra Pradesh,18.0,81.0,0.34933335,28.62800407409668,0.8129116892814636,1012.9912719726562,1,1,0.004680926983155587,0,0,2,0,3,Moderate,0.3,18.0,1,0,0.6425372034270597,0.09720699973332547,0.6428803013694401,0.40875114278739194
Andhra Pradesh,18.0,81.5,0.32725003,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,18.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.38239829655226376
Andhra Pradesh,18.0,82.0,0.33083335,28.62800407409668,0.8168428540229797,1013.0521850585938,1,1,0.06559401292065559,0,0,2,0,3,Moderate,0.3,18.0,1,0,0.6425372034270597,0.0978491528063525,0.6582884315511571,0.3866744054421979
Andhra Pradesh,18.5,79.0,0.41304168,28.62800407409668,1.9314714670181277,1012.7134399414062,1,1,-0.2731511042668444,0,0,2,0,3,Moderate,0.3,18.5,0,0,0.6425372034270597,0.2799229747349219,0.572601936051628,0.48477665998257846
Andhra Pradesh,18.5,79.5,0.38743752,28.62800407409668,1.3262144327163696,1012.85107421875,1,1,-0.1355168269230944,0,0,2,0,3,Moderate,0.3,18.5,0,0,0.6425372034270597,0.18105465195936793,0.6074168995383736,0.45422226456288517
Andhra Pradesh,18.5,80.0,0.40904167,28.62800407409668,0.9213486313819884,1012.8438110351562,1,1,-0.1427800105168444,0,0,2,0,3,Moderate,0.3,18.5,0,0,0.6425372034270597,0.11492010009366539,0.6055796575627982,0.4800032994340298
