region,latitude,longitude,rainfall,sst,wind_speed,pressure,data_period
Gujarat,21.0,72.0,0.27069446,,1.7293305397033691,1012.7605590820312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,68.0,0.30704167,,3.416644334793091,1014.1405639648438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,68.5,0.207,,,,{'rainfall': '2025-09'}
Gujarat,21.5,69.0,0.22400002,,3.635770797729492,1013.9335327148438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,69.5,0.19312501,,3.151691436767578,1013.60595703125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,70.0,0.21475,,2.058035135269165,1013.2265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,70.5,0.25056252,,1.4835319519042969,1012.9578857421875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,71.0,0.2705417,,1.295322299003601,1012.7697143554688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.5,71.5,0.2864375,,,,{'rainfall': '2025-09'}
Gujarat,21.5,72.0,0.32895836,,1.3790875673294067,1012.7290649414062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.0,68.0,0.11511111,26.77370262145996,3.447049856185913,1014.2135009765625,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.0,68.5,0.09875,,,,{'rainfall': '2025-09'}
Gujarat,22.0,69.0,0.12869446,,3.4504191875457764,1014.0184936523438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.0,69.5,0.166875,,2.3899590969085693,1013.7134399414062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,22.0,70.0,0.22311112,26.90716552734375,2.0183351039886475,1013.399169921875,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
